actor_id,actor
1,Tom Hanks
2,Tim Allen
3,Don Rickles
4,Robin Williams
5,Kirsten Dunst
6,Bonnie Hunt
7,Walter Matthau
8,Jack Lemmon
9,Ann-Margret
10,Whitney Houston
11,Angela Bassett
12,Loretta Devine
13,Steve Martin
14,Diane Keaton
15,Martin Short
16,Al Pacino
17,Robert De Niro
18,Val Kilmer
19,Harrison Ford
20,Julia Ormond
21,Greg Kinnear
22,Jonathan Taylor Thomas
23,Brad Renfro
24,Charles Rocket
25,Jean-Claude Van Damme
26,Powers Boothe
27,Raymond J. Barry
28,Pierce Brosnan
29,Sean Bean
30,Izabella Scorupco
31,Michael Douglas
32,Annette Bening
33,Martin Sheen
34,Leslie Nielsen
35,Mel Brooks
36,Peter MacNicol
37,Kevin Bacon
38,Bob Hoskins
39,Bridget Fonda
40,Anthony Hopkins
41,Joan Allen
42,Geena Davis
43,Matthew Modine
44,Frank Langella
45,Sharon Stone
46,Joe Pesci
47,Emma Thompson
48,Kate Winslet
49,James Fleet
50,Tim Roth
51,Antonio Banderas
52,Sammi Davis
53,Jim Carrey
54,Ian McNeice
55,Simon Callow
56,Wesley Snipes
57,Woody Harrelson
58,Jennifer Lopez
59,Gene Hackman
60,Rene Russo
61,Danny DeVito
62,Sigourney Weaver
63,Holly Hunter
64,Dermot Mulroney
65,Sylvester Stallone
66,Julianne Moore
67,Mary Steenburgen
68,Sean Patrick Flanery
69,Lance Henriksen
70,Nicolas Cage
71,Elisabeth Shue
72,Julian Sands
73,Laurence Fishburne
74,Kenneth Branagh
75,Irène Jacob
76,Christina Ricci
77,Demi Moore
78,Rosie O'Donnell
79,Amanda Root
80,Ciarán Hinds
81,Susan Fleetwood
82,Ron Perlman
83,Daniel Emilfork
84,Judith Vittet
85,Gong Li
86,Baotian Li
87,Xiaoxiao Wang
88,Michelle Pfeiffer
89,George Dzundza
90,Courtney B. Vance
91,Craig Sheffer
92,Elizabeth McGovern
93,Tom Hulce
94,James Cromwell
95,Magda Szubanski
96,Christine Cavanaugh
97,Jonathan Pryce
98,Steven Waddington
99,Susan Sarandon
100,Sean Penn
101,Robert Prosky
102,Peter Reznick
103,John McDonough
104,Avi Hoffman
105,Kirstie Alley
106,Steve Guttenberg
107,Mary-Kate Olsen
108,Alicia Silverstone
109,Stacey Dash
110,Brittany Murphy
111,Richard Harris
112,James Earl Jones
113,Vusi Kunene
114,Ian McKellen
115,Christopher Bowen
116,Larenz Tate
117,Keith David
118,Chris Tucker
119,Robert Downey Jr.
120,Sam Neill
121,David Thewlis
122,Christopher Lambert
123,Robin Shou
124,Linden Ashby
125,Nicole Kidman
126,Matt Dillon
127,Joaquin Phoenix
128,Winona Ryder
129,Ellen Burstyn
130,Anne Bancroft
131,Mel Gibson
132,Linda Hunt
133,Christian Bale
134,Pascale Bussières
135,Rachael Crawford
136,Henry Czerny
137,Kevin Spacey
138,Gabriel Byrne
139,Chazz Palminteri
140,Cynthia Rothrock
141,Daniel McVicar
142,Lydie Denier
143,Marshall R. Teague
144,Woody Allen
145,Mira Sorvino
146,Pamela Blair
