country_id,country
1,United States
2,Germany
3,United Kingdom
4,Russia
5,France
6,Italy
7,Spain
8,Belgium
9,China
10,Australia
11,South Africa
12,Canada
13,USA
14,Switzerland
15,Austria
16,Mexico
17,Japan
18,Iran
19,Netherlands
20,Hong Kong
21,Ireland
22,Dominican Republic
23,India
24,Croatia
25,West Germany
26,North Macedonia
27,Taiwan
28,New Zealand
29,Hungary
30,Poland
31,South Korea
32,Peru
33,Liechtenstein
34,Denmark
35,Portugal
36,Finland
37,Sweden
38,Czech Republic
39,Argentina
40,Thailand
41,Federal Republic of Yugoslavia
42,Bulgaria
43,Brazil
44,Philippines
45,UK
46,Greece
47,Cameroon
48,Senegal
49,Burkina Faso
50,Vietnam
51,Norway
52,Soviet Union
53,Jordan
54,Iceland
55,Kazakhstan
56,Georgia
57,Ukraine
58,Luxembourg
59,Tunisia
60,Singapore
61,Cambodia
62,Bangladesh
63,Aruba
64,Monaco
65,Morocco
66,Panama
67,Botswana
68,Isle of Man
69,Turkey
70,Malaysia
71,Czechoslovakia
72,Cuba
73,Venezuela
74,Israel
75,Lebanon
76,Jamaica
77,Fiji
78,Bahamas
79,Romania
80,Bhutan
81,Côte d&#x27;Ivoire
82,Malta
83,Egypt
84,Yugoslavia
