director_id,director
1,John Lasseter
2,Joe Johnston
3,Howard Deutch
4,Forest Whitaker
5,Charles Shyer
6,Michael Mann
7,Sydney Pollack
8,Peter Hewitt
9,Peter Hyams
10,Martin Campbell
11,Rob Reiner
12,Mel Brooks
13,Simon Wells
14,Oliver Stone
15,Renny Harlin
16,Martin Scorsese
17,Ang Lee
18,Allison Anders
19,Alexandre Rockwell
20,Robert Rodriguez
21,Steve Oedekerk
22,Joseph Ruben
23,Barry Sonnenfeld
24,Jon Amiel
25,Richard Donner
26,Victor Salva
27,Mike Figgis
28,Oliver Parker
29,Lesli Linka Glatter
30,Roger Michell
31,Marc Caro
32,Jean-Pierre Jeunet
33,Yimou Zhang
34,John N. Smith
35,Jean-Jacques Annaud
36,Chris Noonan
37,Christopher Hampton
38,Tim Robbins
39,Stephen Low
40,Andy Tennant
41,Amy Heckerling
42,Darrell Roodt
43,Richard Loncraine
44,Albert Hughes
45,Allen Hughes
46,Michael Hoffman
47,Paul W.S. Anderson
48,Gus Van Sant
49,Jocelyn Moorhouse
50,Mike Gabriel
51,Eric Goldberg
52,Patricia Rozema
53,Bryan Singer
54,Richard W. Munchkin
55,Woody Allen
56,Gianni Amelio
57,Holly Goldberg Sloan
58,Ulu Grosbard
59,Robert Tinnell
60,Jodie Foster
61,Robert Lepage
62,Frank Oz
63,John Schlesinger
64,Stephen Herek
65,Paris Barclay
66,Bill Bennett
67,Jason Bloom
68,James Foley
69,Josiane Balasko
70,F. Gary Gray
71,Andrew Sipes
72,Noah Baumbach
73,Claude Lelouch
74,Michael Goldenberg
75,Steve Miner
76,Christian Duguay
77,Susanne Ofteringer
78,Sean Penn
79,Brian Gibson
80,Jafar Panahi
81,Gary Fleder
82,Marleen Gorris
83,Tim Reid
84,Henry Jaglom
85,Philip Haas
86,Ridley Scott
87,Ken Kwapis
88,Penelope Spheeris
89,John Badham
90,John Duigan
91,Stephen Frears
92,Wes Craven
93,Ted Demme
94,John Woo
95,Steve Loter
96,Nick Broomfield
97,Harold Becker
98,Wes Anderson
99,Nick Castle
100,John Dahl
101,Dennis Dugan
102,Clint Eastwood
103,Doris Dörrie
104,Brian Henson
105,Robert Leacock
106,James Bruce
107,Mel Gibson
108,Stanley Tong
109,Barbet Schroeder
110,Mort Ransen
111,Étienne Chatiliez
112,Jon Blair
113,Benjamin Ross
114,Eric Schaeffer
115,Andrew Davis
116,Charles T. Kanganis
117,Reginald Hudlin
118,Wong Kar-Wai
119,Giuseppe Tornatore
120,David O. Russell
121,Peter MacDonald
122,Bryan Gordon
123,Rebecca Miller
124,Michael Lindsay-Hogg
125,William Friedkin
126,Ángel Muñiz
127,Craig Baldwin
128,David S. Ward
129,Mark Rappaport
130,Dirk Shafer
131,Terence Davies
132,Sandip Ray
133,Steve Drake
134,Mike Nichols
135,Terrell Tannen
136,Jakov Sedlar
137,Edward Burns
138,Michael Bay
139,Christopher Cain
140,Scott Kalvert
141,Mike Newell
142,Hal Hartley
143,Ron Howard
144,Michael Caton-Jones
145,Abel Ferrara
146,Joel Schumacher
147,Luis Buñuel
148,John Boorman
149,Paul Auster
150,Wayne Wang
151,Harvey Wang
152,Brad Silberling
153,Spike Lee
154,Frank Marshall
155,Tony Scott
156,Terry Zwigoff
157,Carl Franklin
158,John McTiernan
159,Gregg Araki
160,Christopher Menaul
161,Jerry Zucker
162,Dwight H. Little
163,Iain Softley
164,Christopher Ashley
165,Robert Longo
166,Danny Cannon
167,John Fortenberry
168,Larry Clark
169,Tom DiCillo
170,Clive Barker
171,Antonia Bird
172,Kevin Smith
173,Thomas C. Grane
174,David Anspaugh
175,Michael Almereyda
176,Irwin Winkler
177,Chris Columbus
178,Daisy von Scherler Mayer
179,Gregory Widen
180,Norman René
181,Todd Haynes
182,Roland Joffé
183,Dean Parisot
184,Paul Verhoeven
185,Lasse Hallström
186,Roger Donaldson
187,James Keach
188,Kathryn Bigelow
189,Jacques Demy
190,Wesley Strick
191,Martha Coolidge
192,Agnieszka Holland
193,Beeban Kidron
194,Geoff Murphy
195,Diane Keaton
196,Douglas Keeve
197,Alfonso Arau
198,Kevin Reynolds
199,Desmond Nakano
200,Walter Hill
201,Greg Beeman
202,Nikita Mikhalkov
203,Milcho Manchevski
204,Richard Linklater
205,Tamra Davis
206,Guy Ferland
207,Herbert Ross
208,Peter Horton
209,Stuart Gordon
210,Pat O'Connor
211,Barry Levinson
212,René Bonnière
213,Jack Baran
214,Roman Polanski
215,Atom Egoyan
216,Garry Marshall
217,Tim Burton
218,Lawrence Kasdan
219,Billy Crystal
220,Phillip Borsos
221,Brett Leonard
222,Carlo Carlei
223,Art Clokey
224,Steve James
225,Peter Jackson
226,Bernard Rose
227,J.F. Lawton
228,Fred Schepisi
229,Neil Jordan
230,James Ivory
231,Ivan Reitman
232,Arne Glimcher
233,Michael Gottlieb
234,George Lucas
235,Gillian Armstrong
236,Alfonso Cuarón
237,Ken Loach
238,Edward Zwick
239,James Gray
240,Glenn Gordon Caron
241,Stephen Gyllenhaal
242,Nicholas Hytner
243,James Orr
244,Nora Ephron
245,Richard Benjamin
246,Les Mayfield
247,David Frankel
248,Gregory Nava
249,Marc Rocco
250,Robert Benton
251,Michael Apted
252,Nick Gomez
253,Albert Pyun
254,Alan Jacobs
255,Norman Jewison
256,Lee Tamahori
257,Wolfgang Petersen
258,Luc Besson
259,Mira Nair
260,Joshua Brand
261,Quentin Tarantino
262,Mario Van Peebles
263,Robert Redford
264,Patrice Chéreau
265,Sam Raimi
266,Peter Yates
267,Robert Altman
268,Krzysztof Kieslowski
269,Fred Gerber
270,George Mihalka
271,Harold Ramis
272,Richard Rich
273,John Sayles
274,Luis Llosa
275,Roland Emmerich
276,John Pasquin
277,Frank Darabont
278,Danny Boyle
279,Scott McGehee
280,David Siegel
281,Geoff Burton
282,Kevin Dowling
283,Kelly Makin
284,Rachel Talalay
285,David Carson
286,Rusty Cundieff
287,Brian Gilbert
288,John Carpenter
289,Peter Segal
290,Louis Malle
291,Steven Soderbergh
292,Preston A. Whitmore II
293,Jon Turteltaub
294,Jon Avnet
295,Mina Shum
296,P.J. Hogan
297,Melanie Mayron
298,Tom Shadyac
299,Stephan Elliott
300,Phillip Noyce
301,Jessie Nelson
302,Alex Proyas
303,Ron Shelton
304,Brian Levant
305,Robert Zemeckis
306,John Singleton
307,Darnell Martin
308,Andrew Bergman
309,Stephen Sommers
310,Ray Müller
311,Roger Allers
312,Rob Minkoff
313,Bernardo Bertolucci
314,Chuck Russell
315,Alan Rudolph
316,Ben Stiller
317,Donald Petrie
318,Robert Allan Ackerman
319,Curtis Hanson
320,Jan de Bont
321,Ron Underwood
322,James Cameron
323,Luis Mandoki
324,Damian Harris
325,Jefery Levy
326,Russ Meyer
327,Doug McHenry
328,Dave Borthwick
329,Steven E. de Souza
330,Wallace Wolodarsky
331,Paul Warner
332,Vincent Robert
333,Theodore Thomas
334,Lucas Platt
335,Ross Kagan Marks
336,Paul Williams
337,Jefri Aalmuhammed
338,Jack Baxter
339,Michael Corrente
340,John G. Avildsen
341,Jeff Pollack
342,Thomas Schlamme
343,Michael Lehmann
344,Paul Michael Glaser
345,Jonathan Kaplan
346,Whit Stillman
347,John Landis
348,Caroline Thompson
349,Stephen Hopkins
350,Tony Richardson
351,Jennifer Lynch
352,Robert De Niro
353,Adam Resnick
354,John Whitesell
355,Brian De Palma
356,Paul Weiland
357,Mick Jackson
358,Steve Barron
