movie_id,title,year,rated,plot,imdb_rating,imdb_id
1,Toy Story,1995,4,"A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy's bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him.",8.3,tt0114709
2,Jumanji,1995,2,A magic board game summons jungle perils and a missing boy.,7.1,tt0113497
3,Grumpier Old Men,1995,3,"Just as John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, its new female owner catches Max's attention.",6.7,tt0113228
4,Waiting to Exhale,1995,1,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men.",6.0,tt0114885
5,Father of the Bride Part II,1995,2,"George Banks must deal not only with his daughter's pregnancy, but also with his wife's.",6.1,tt0113041
6,Heat,1995,1,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,8.3,tt0113277
7,Sabrina,1995,2,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",6.3,tt0114319
8,Tom and Huck,1995,2,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,5.5,tt0112302
9,Sudden Death,1995,1,"Darren McCord, a fire marshal for the Pittsburgh Civic Arena, finds himself in a race against time to save his daughter, the Vice President and a crowded stadium, when terrorists take over an NHL Stanley Cup game.",5.9,tt0114576
10,GoldenEye,1995,3,"When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.",7.2,tt0113189
11,The American President,1995,3,"A widowered U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.",6.8,tt0112346
12,Dracula: Dead and Loving It,1995,3,Mel Brooks' parody of the classic vampire story and its famous film adaptations.,5.9,tt0112896
13,Balto,1995,4,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",7.1,tt0112453
14,Nixon,1995,1,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.",7.0,tt0113987
15,Cutthroat Island,1995,3,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,5.7,tt0112760
16,Casino,1995,1,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",8.2,tt0112641
17,Sense and Sensibility,1995,2,"In Georgian era England, wealthy Mr. Dashwood dies leaving his second wife and three daughters destitute. The ladies move to a modest cottage where the two older daughters vie for the attention of various suitors in search of true...",7.7,tt0114388
18,Four Rooms,1995,1,Four interlocking tales that take place in a fading hotel on New Year's Eve.,6.7,tt0113101
19,Ace Ventura: When Nature Calls,1995,3,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",6.4,tt0112281
