movie_id,title,year
32,Twelve Monkeys,1995
58,"Postino, Il",1994
96,In the Bleak Midwinter,1995
121,The Boys of St. Vincent,1993
127,The Silence of the Palace,1994
128,Jupiter's Wife,1994
157,Canadian Bacon,1994
178,Love & Human Remains,1993
183,Mute Witness,1994
224,Don Juan DeMarco,1995
230,Dolores Claiborne,1994
231,Dumb & Dumber,1994
239,"A Goofy Movie,1995
242,Farinelli: il castrato,1994
243,Gordy,1995
245,The Glass Shield""",1994
248,Houseguest,1994
250,Heavyweights,1994
255,The Jerky Boys,1994
264,"Enfer, L'",1994
267,Major Payne,1994
273,Mary Shelley's Frankenstein,1994
284,New York Cop,1996
285,Beyond Bedlam,1993
291,Poison Ivy II,1995
298,Pushing Hands,1992
301,Picture Bride,1995
309,"Red Firecracker, Green Firecracker",1994
321,Strawberry and Chocolate,1993
322,Swimming with Sharks,1995
328,Tales From the Crypt Presents: Demon Knight,1995
346,Backbeat,1993
366,Wes Craven's New Nightmare,1994
373,Red Rock West,1992
385,"A Man of No Importance,1994
387,A Low Down Dirty Shame""",1994
388,Boys Life,1995
389,Le Colonel Chabert,1994
395,Desert Winds,1995
402,Open Season,1996
403,Two Crimes,1995
407,In the Mouth of Madness,1995
418,Being Human,1993
422,Blink,1994
482,Killing Zoe,1994
512,Robert A. Heinlein's The Puppet Masters,1994
566,Naked in New York,1994
571,The Wedding Gift,1994
573,"Ciao, Professore!",1993
578,The Hour of the Pig,1993
582,Metisse,1993
583,Dear Diary,1994
598,Window to Paris,1994
615,Bread and Chocolate,1973
618,Two Much,1996
625,Asfour Stah,1990
638,Jack and Sarah,1995
649,Cold Fever,1994
651,"Superweib, Das",1996
655,Mutters Courage,1995
657,Yankee Zulu,1994
666,All Things Fair,1996
667,Bloodsport 2,1995
675,Hostile Intentions,1994
678,Some Folks Call It a Sling Blade,1993
685,It's My Party,1995
690,The Promise,1994
693,Under the Domin Tree,1994
698,Delta of Venus,1994
721,Halfmoon,1995
723,Two Friends,1986
729,"Institute Benjamenta, or This Dream People Call Human Life",1995
730,The Low Life,1994
738,Le Garcu,1995
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1963
756,Carmen Miranda: Bananas Is My Business,1994
771,La Vie est belle,1987
787,The Gate of Heavenly Peace,1995
789,"I, Worst of All",1990
790,An Unforgettable Summer,1994
791,"The Last Klezmer: Leopold Kozlowski, His Life and Music",1995
793,My Life and Times With Antonin Artaud,1993
807,Rendezvous in Paris,1995
811,"Bewegte Mann, Der",1994
812,Magic Hunter,1994
815,Power 98,1995
821,The Crude Oasis,1995
823,La Collectionneuse,1967
825,Echte Kerle,1996
826,Diebinnen,1995
841,Eyes Without a Face,1959
842,Tales from the Crypt Presents: Bordello of Blood,1996
844,The Story of Xinghua,1993
855,Every Other Weekend,1990
863,Celestial Clockwork,1994
868,Death in Brunswick,1991
871,Lover's Knot,1996
872,Aiqing wansui,1994
876,Police Story 4: Project S,1993
894,Liebelei,1933
922,Sunset Blvd.,1950
970,Beat the Devil,1954
980,In the Line of Duty 2,1987
984,The Pompatus of Love,1996
985,Small Wonders,1996
989,Schlafes Bruder,1995
1001,The Associate,1982
1010,The Love Bug,1969
1024,The Three Caballeros,1945
1026,So Dear to My Heart,1949
1059,William Shakespeare's Romeo and Juliet,1996
1065,The Woman in Question,1950
1071,For the Moment,1994
1075,The Sexual Life of the Belgians,1994
1098,The Search for One-eye Jimmy,1996
1105,Children of the Corn IV: The Gathering,1996
1108,Prerokbe Ognja,1995
1109,Charm's Incidents,1996
1110,Bird of Prey,1996
1112,Palookaville,1996
1118,Tashunga,1995
1119,Drunks,1997
1121,Glory Daze,1996
1122,Plutonium Circus,1995
1125,The Return of the Pink Panther,1974
1130,The Howling,1980
1134,Johnny 100 Pesos,1993
1136,Monty Python and the Holy Grail,1974
1142,Get Over It,1996
1144,The Line King: Al Hirschfeld,1996
1149,JLG/JLG - autoportrait de décembre,1994
1155,The Invitation,1986
1156,The Children Are Watching us,1942
1157,La Symphonie pastorale,1946
1164,Two or Three Things I Know About Her,1966
1166,Farmer & Chase,1995
1174,Grosse Fatigue,1994
1181,The Shooter,1995
1190,Tie Me Up! Tie Me Down!,1990
1209,Once Upon a Time in the West,1969
1223,A Grand Day Out,1992
1241,Braindead,1992
1243,Rosencrantz and Guildenstern Are Dead,1990
1251,8 1/2,1963
1289,Koyaanisqatsi,1983
1296,"A Room with a View,1986
1299,The Killing Fields""",1984
1315,Paris Was a Woman,1995
1319,Kids of Survival,1993
1349,Nosferatu a Venezia,1986
1351,Blood & Wine,1997
1362,The Garden of Finzi-Contini,1970
1368,The Forbidden Christ,1950
1374,Star Trek: The Wrath of Khan,1982
1404,Night Falls on Manhattan,1997
1406,La Cérémonie,1995
1423,Hearts and Minds,1996
1429,Jackie Chan's First Strike,1996
1433,The Machine,1994
1444,Guantanamera,1994
1454,SubUrbia,1997
1467,Salut cousin!,1996
1474,Jungle2Jungle,1997
1564,Roseanna's Grave,1997
