stage,context_feature,threshold,min_pos,k,metric,value,raw_value,delta_vs_raw
actors,actors,5.0,5,20,recall,0.1459186198297817,0.1450993271783791,0.0008192926514025978
actors,actors,5.0,5,20,ndcg,0.0973626084706381,0.0971557903534897,0.0002068181171483996
age_group,age_group,5.0,5,20,recall,0.1397240641691289,0.1450993271783791,-0.005375263009250203
age_group,age_group,5.0,5,20,ndcg,0.0947050519197863,0.0971557903534897,-0.0024507384337034005
countries,countries,5.0,5,20,recall,0.1482342910223209,0.1450993271783791,0.0031349638439418237
countries,countries,5.0,5,20,ndcg,0.0985458579144631,0.0971557903534897,0.0013900675609734015
directors,directors,5.0,5,20,recall,0.1479364638121863,0.1450993271783791,0.002837136633807219
directors,directors,5.0,5,20,ndcg,0.0988769247593325,0.0971557903534897,0.001721134405842803
genres,genres,5.0,5,20,recall,0.146261537911656,0.1450993271783791,0.0011622107332769083
genres,genres,5.0,5,20,ndcg,0.0969107278110097,0.0971557903534897,-0.0002450625424799957
occupation,occupation,5.0,5,20,recall,0.1445252438710262,0.1450993271783791,-0.0005740833073528961
occupation,occupation,5.0,5,20,ndcg,0.0970073315840092,0.0971557903534897,-0.0001484587694804973
raw,raw,5.0,5,20,recall,0.1450993271783791,0.1450993271783791,0.0
raw,raw,5.0,5,20,ndcg,0.0971557903534897,0.0971557903534897,0.0
tags,tags,5.0,5,20,recall,0.149106107309207,0.1450993271783791,0.0040067801308279
tags,tags,5.0,5,20,ndcg,0.0989046137378614,0.0971557903534897,0.0017488233843717
