user_id,gender,occupation,age_group_id
1,F,11,1
2,M,17,7
3,M,16,3
4,M,8,5
5,M,21,3
6,F,10,6
7,M,2,4
8,M,13,3
9,M,18,3
10,F,2,4
11,F,2,3
12,M,13,3
13,M,2,5
14,M,1,4
15,M,8,3
16,F,1,4
17,M,2,6
18,F,4,2
19,M,11,1
20,M,15,3
21,M,17,2
22,M,16,2
23,M,1,4
24,F,8,3
25,M,5,2
26,M,8,3
27,M,12,3
28,F,2,3
29,M,8,4
30,F,8,4
31,M,8,7
32,F,1,3
33,M,4,5
34,F,1,2
35,M,2,5
36,M,4,3
37,F,10,3
38,F,5,2
39,M,5,2
40,M,1,5
41,F,5,2
42,M,9,3
43,M,13,3
44,M,18,5
45,F,17,5
46,M,20,2
47,M,5,2
48,M,5,3
49,M,13,2
50,F,3,3
51,F,11,1
52,M,5,2
53,M,1,3
54,M,2,6
55,F,13,4
56,M,21,4
57,M,20,2
58,M,3,3
59,F,2,6
60,M,2,6
61,M,18,3
62,F,4,4
63,M,5,2
64,M,2,2
65,M,13,4
66,M,19,3
67,F,6,6
68,M,5,2
69,F,2,3
70,M,5,2
71,M,15,3
72,F,1,5
73,M,5,2
74,M,15,4
75,F,11,1
76,M,8,4
77,M,5,2
78,F,2,5
79,F,1,5
80,M,2,7
81,F,1,3
82,M,18,3
83,F,3,3
84,M,5,2
85,M,5,2
86,F,11,1
87,M,15,3
88,F,2,5
89,F,10,7
90,M,14,7
91,M,8,4
92,F,5,2
93,M,18,3
94,M,18,3
95,M,1,5
96,F,17,3
97,F,4,4
98,F,8,4
99,F,11,1
100,M,18,4
101,F,4,2
102,M,20,4
103,M,8,5
104,M,13,3
105,M,13,5
106,F,12,4
107,M,19,5
108,M,13,3
109,M,16,5
110,M,3,3
111,M,16,4
112,M,17,3
113,M,13,2
114,F,3,3
115,M,18,3
116,M,18,3
117,M,18,3
118,M,18,4
119,F,11,1
120,M,12,3
121,M,8,4
122,F,5,2
123,M,10,4
124,M,8,7
125,M,15,5
126,M,10,2
127,F,4,5
128,M,7,7
129,M,12,3
130,M,18,4
131,M,5,2
132,M,18,3
133,F,1,3
134,M,1,3
135,M,5,2
136,M,3,2
137,F,7,5
138,M,21,2
139,F,21,3
140,F,2,4
141,M,14,4
142,M,8,3
143,M,4,2
144,M,18,3
145,M,5,2
146,F,21,4
147,M,5,2
148,M,18,6
149,M,2,3
150,M,8,4
151,F,21,3
152,M,5,2
153,M,11,1
154,M,21,6
155,M,13,4
156,F,8,5
157,M,17,4
158,M,8,7
159,F,1,5
160,M,8,4
161,M,17,5
162,F,5,2
163,M,5,2
164,F,14,7
165,M,17,2
166,M,5,2
167,F,12,3
168,F,1,6
169,M,8,3
170,M,12,3
171,F,18,6
172,M,4,3
173,M,1,3
174,M,17,3
175,F,3,3
176,F,4,2
177,M,2,6
178,M,18,7
179,M,1,3
180,M,13,5
181,M,18,2
182,M,5,2
183,F,2,5
184,F,1,3
185,M,1,5
186,M,6,2
187,F,2,5
188,M,17,7
189,M,1,2
190,M,18,3
191,M,5,2
192,M,2,2
193,F,16,5
194,F,11,1
195,M,13,3
196,F,10,4
197,M,15,2
198,M,13,3
199,M,5,2
200,F,5,2
201,F,3,4
202,M,5,2
203,F,5,2
204,M,8,3
205,M,13,4
206,M,18,3
207,M,13,3
208,M,18,4
209,M,2,4
210,F,11,1
211,M,18,5
212,M,17,3
213,F,5,2
214,M,21,2
215,M,15,4
216,M,14,5
217,M,5,2
218,M,15,4
219,F,5,3
220,M,13,3
221,F,1,3
222,M,2,3
223,M,18,3
224,F,5,2
225,M,8,3
226,M,2,4
227,M,21,4
228,M,16,3
229,M,11,2
230,M,2,5
231,M,4,3
232,M,21,3
233,F,21,5
234,M,8,4
235,M,1,3
236,M,6,3
237,M,7,3
238,F,8,6
239,M,20,2
240,M,18,6
241,M,21,4
242,F,5,2
243,M,17,3
244,M,8,6
245,M,17,4
246,F,5,2
247,M,18,3
248,M,18,2
249,F,15,2
250,M,17,4
251,M,18,7
252,M,13,3
253,F,12,3
254,M,18,4
255,M,1,4
256,M,17,5
257,M,19,2
258,M,8,3
259,M,2,3
260,M,20,2
261,M,21,3
262,F,2,3
263,F,8,3
264,M,1,4
265,F,8,4
266,M,12,4
267,M,13,5
268,F,13,2
269,M,3,3
270,M,15,6
271,M,5,2
272,M,1,2
273,M,5,2
274,M,5,2
275,M,1,3
276,M,17,5
277,F,2,4
278,M,19,5
279,M,15,3
280,M,8,6
281,F,1,4
282,M,18,3
283,M,1,3
284,M,13,3
285,F,1,4
286,M,2,3
287,M,14,6
288,F,13,3
289,F,1,3
290,F,21,3
291,M,13,4
292,M,8,4
293,M,2,7
294,F,10,5
295,M,1,2
296,M,6,6
297,M,3,2
298,F,5,2
299,M,13,3
300,M,8,3
301,M,5,2
302,M,5,2
303,M,8,3
304,M,1,3
305,F,1,2
306,M,1,2
307,M,17,6
308,M,3,3
309,M,5,3
310,F,5,2
311,M,5,2
312,F,3,6
313,F,5,2
314,F,10,7
315,F,2,7
316,M,14,7
317,M,8,4
318,F,14,7
319,F,7,6
320,M,7,4
321,M,5,2
322,M,18,7
323,M,13,5
324,M,18,4
325,F,4,6
326,M,12,6
327,M,19,4
328,M,13,4
329,M,8,4
330,M,8,7
331,M,8,3
332,M,2,6
333,M,3,4
334,F,3,7
335,M,19,4
336,M,1,2
337,M,20,2
338,M,8,4
339,M,8,6
340,F,4,3
341,F,14,7
342,M,13,2
343,F,4,4
344,M,15,4
345,M,13,3
346,F,1,3
347,F,2,7
348,M,8,6
349,M,11,1
350,M,21,5
351,M,5,2
352,M,5,2
353,F,8,4
354,M,2,4
355,M,4,2
356,M,21,7
357,M,1,2
358,F,2,7
359,M,18,3
360,M,18,4
361,F,15,3
362,M,21,4
363,M,11,2
364,F,2,4
365,F,5,2
366,M,16,6
367,M,13,6
368,M,1,3
369,M,2,4
370,M,18,2
371,M,5,2
372,F,5,2
373,F,3,3
374,F,15,4
375,M,3,3
376,M,2,4
377,M,18,3
378,F,1,2
379,F,2,4
380,M,3,3
381,M,18,4
382,F,21,4
383,F,8,3
384,M,12,3
385,M,7,3
386,M,1,3
387,F,8,4
388,F,1,3
389,M,7,3
390,M,5,3
391,M,12,5
392,M,8,2
393,M,18,4
394,M,1,2
395,M,6,2
396,M,2,3
397,M,18,4
398,M,18,3
399,F,7,4
400,F,4,2
401,M,1,2
402,M,12,3
403,M,5,2
404,M,5,2
405,M,2,7
406,M,21,3
407,M,18,2
408,M,12,3
409,M,13,2
410,F,2,3
411,F,2,5
412,M,16,4
413,M,12,3
414,M,1,3
415,F,1,4
416,M,15,5
417,F,1,3
418,F,4,3
419,M,4,2
420,M,2,4
421,F,4,5
422,M,18,7
423,M,5,2
424,M,18,3
425,M,13,3
426,M,5,2
427,M,13,4
428,F,5,2
429,M,1,2
430,F,11,2
431,M,11,2
432,M,17,5
433,M,7,6
434,F,4,5
435,M,8,3
436,M,5,2
437,M,18,4
438,M,12,2
439,M,15,4
440,M,2,7
441,M,2,4
442,M,2,3
443,M,4,3
444,M,1,7
445,M,13,5
446,F,1,6
447,F,12,5
448,M,18,3
449,M,8,3
450,M,2,5
451,M,14,7
452,M,18,6
453,M,5,2
454,M,21,3
455,F,3,4
456,M,1,4
457,M,5,2
458,M,17,6
459,F,5,2
460,M,19,5
461,M,8,6
462,M,17,2
463,M,8,3
464,F,5,2
465,M,20,2
466,M,6,3
467,F,4,4
468,F,11,1
469,M,7,4
470,F,11,1
471,M,8,4
472,M,1,4
473,F,5,2
474,M,18,3
475,F,3,3
476,M,1,4
477,M,15,4
478,M,17,6
479,M,13,3
480,F,5,2
481,M,8,5
482,M,15,3
483,M,13,2
484,F,11,1
485,M,8,7
486,M,1,7
487,F,18,4
488,M,13,3
489,M,5,2
490,M,11,1
491,M,5,2
492,M,13,3
493,M,8,6
494,F,1,4
495,M,11,2
496,M,5,2
497,F,18,3
498,M,18,4
499,F,2,3
500,F,3,2
501,M,3,3
502,M,7,4
503,M,12,4
504,M,3,3
505,M,18,4
506,M,17,3
507,F,1,3
508,M,13,3
509,M,3,3
510,M,13,2
511,F,5,5
512,M,1,4
513,M,1,3
514,M,3,3
515,M,2,3
516,F,15,7
517,F,15,3
518,F,13,4
519,F,15,4
520,F,21,4
521,M,8,7
522,M,13,3
523,M,8,6
524,M,1,2
